Team,Position,Status,Height,Weight,College,Experience,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,HeightFeet,HeightInches,Salary
DET,LB,Active,"6'5""",243,Iowa,0,True,DEF,Jack Campbell,23.0,Rookie,"August 22, 2000",6,5,"$3,680,501"
NYG,OLB,Active,"6'5""",285,Illinois,4,True,DEF,Jihad Ward,29.0,8th Season,"May 11, 1994",6,5,"$1,500,000"
CAR,LB,Active,"6'1""",222,LSU,4,True,DEF,Deion Jones,29.0,8th Season,"November 4, 1994",6,1,"$1,165,000"
ATL,CB,Active,"5'10""",189,Central Florida,3,True,DEF,Mike Hughes,26.0,6th Season,"February 11, 1997",5,10,"$3,500,000"
CHI,CB,Active,"5'11""",190,Mississippi,1,True,DEF,Jaylon Jones,26.0,2nd Season,"October 14, 1997",5,11,"$988,370"
NYJ,TE,Active,"6'3""",250,Mississippi,1,True,OFF,Kenny Yeboah,25.0,3rd Season,"October 30, 1998",6,3,"$1,338,250"
KC,DT,Active,"6'1""",317,Florida State,3,True,DEF,Derrick Nnadi,27.0,6th Season,"May 9, 1996",6,1,"$1,232,500"
BUF,CB,Active,"5'11""",180,Pittsburgh,2,True,DEF,Dane Jackson,27.0,4th Season,"November 29, 1996",5,11,"$2,010,000"
NE,LB,Active,"6'3""",230,Sacramento State,0,True,DEF,Marte Mapu,24.0,Rookie,"November 8, 1999",6,3,"$1,390,927"
LV,DT,Active,"6'5""",300,Vanderbilt,3,True,DEF,Adam Butler,29.0,7th Season,"April 12, 1994",6,5,"$1,550,000"
PHI,CB,Injured Reserve,"5'9""",184,Pittsburgh,3,True,DEF,Avonte Maddox,27.0,6th Season,"March 31, 1996",5,9,"$7,500,000"
CAR,LB,Injured Reserve,"6'2""",230,Alcorn State,0,True,DEF,Claudin Cherelus,24.0,Rookie,"December 29, 1998",6,2,"$900,000"
GB,LB,Active,"6'5""",277,Michigan,2,True,DEF,Rashan Gary,26.0,5th Season,"December 3, 1997",6,5,"$24,000,000"
SF,DL,Active,"6'4""",266,Ohio State,2,True,DEF,Nick Bosa,26.0,5th Season,"October 23, 1997",6,4,"$34,000,000"
KC,LB,Active,"6'2""",234,Notre Dame,2,True,DEF,Drue Tranquill,28.0,5th Season,"August 15, 1995",6,2,"$3,000,000"
SF,LB,Active,"6'3""",220,Purdue,0,True,DEF,Jalen Graham,22.0,Rookie,"January 11, 2001",6,3,"$979,444"
HOU,LB,Active,"5'11""",240,Miami (FL),4,True,DEF,Denzel Perryman,31.0,9th Season,"December 5, 1992",5,11,"$2,600,000"
GB,S,Active,"6'0""",205,Iowa State,0,True,DEF,Anthony Johnson Jr.,24.0,Rookie,"December 2, 1999",6,0,"$980,941"
CIN,DT,Active,"6'4""",290,Florida,1,True,DEF,Zach Carter,24.0,2nd Season,"April 7, 1999",6,4,"$1,269,985"
NYJ,LB,Active,"5'11""",225,Murray State,2,True,DEF,Quincy Williams,27.0,5th Season,"August 28, 1996",5,11,"$6,000,000"
LV,DE,Active,"6'5""",260,Florida State,1,True,DEF,Janarius Robinson,25.0,3rd Season,"May 4, 1998",6,5,"$870,000"
PIT,RB,Injured Reserve,"5'9""",180,Morgan State,0,True,OFF,Alfonzo Graham,23.0,Rookie,"March 19, 2000",5,9,"$898,333"
WAS,DT,Injured Reserve,"6'2""",287,Cincinnati,0,True,DEF,Curtis Brooks,25.0,1st Season,"February 6, 1998",6,2,"$750,000"
DAL,S,Active,"6'3""",205,Florida A&M,1,True,DEF,Markquese Bell,24.0,2nd Season,"January 6, 1999",6,3,"$858,333"
KC,S,Active,"6'1""",207,Stanford,3,True,DEF,Justin Reid,26.0,6th Season,"February 15, 1997",6,1,"$10,500,000"
NE,LB,Active,"6'3""",255,Alabama,2,True,DEF,Anfernee Jennings,25.0,4th Season,"May 1, 1998",6,3,"$1,149,218"
DET,LB,Active,"6'0""",240,Purdue,1,True,DEF,Derrick Barnes,24.0,3rd Season,"May 29, 1999",6,0,"$1,065,301"
PIT,LB,Injured Reserve,"6'1""",227,LSU,4,True,DEF,Kwon Alexander,29.0,9th Season,"August 3, 1994",6,1,"$1,317,500"
DEN,S,Suspended,"5'10""",183,Alabama,7,True,DEF,Kareem Jackson,35.0,14th Season,"April 10, 1988",5,10,"$2,667,500"
BUF,S,Active,"6'0""",197,Iowa,5,True,DEF,Micah Hyde,32.0,11th Season,"December 31, 1990",6,0,"$9,625,000"
PIT,LB,Active,"6'3""",230,Fresno State,2,True,DEF,Mykal Walker,26.0,4th Season,"August 28, 1997",6,3,"$1,010,000"
NYG,S,Active,"6'4""",238,Clemson,2,True,DEF,Isaiah Simmons,25.0,4th Season,"July 26, 1998",6,4,"$5,166,014"
NYG,C,Injured Reserve,"6'2""",295,Alabama,2,True,OFF,J.C. Hassenauer,29.0,4th Season,"September 1, 1994",6,2,"$1,035,000"
HOU,WR,Injured Reserve,"6'0""",190,San Diego State,0,True,OFF,Jesse Matthews,24.0,Rookie,"August 12, 1999",6,0,"$901,667"
LAR,OLB,Active,"6'5""",260,Nebraska,0,True,DEF,Ochaun Mathis,24.0,Rookie,"January 8, 1999",6,5,"$1,005,616"
HOU,CB,Active,"6'0""",190,LSU,1,True,DEF,Derek Stingley Jr.,22.0,2nd Season,"June 20, 2001",6,0,"$8,664,378"
SEA,OLB,Active,"6'3""",254,Auburn,0,True,DEF,Derick Hall,22.0,Rookie,"March 19, 2001",6,3,"$2,278,895"
SEA,OLB,Active,"6'3""",272,Michigan,4,True,DEF,Frank Clark,30.0,9th Season,"June 14, 1993",6,3,"$1,165,000"
IND,DE,Injured Reserve,"6'0""",250,Memphis,3,True,DEF,Genard Avery,28.0,6th Season,"April 26, 1995",6,0,"$1,080,000"
BAL,DT,Active,"6'2""",315,Texas Tech,2,True,DEF,Broderick Washington,27.0,4th Season,"December 4, 1996",6,2,"$5,250,000"
JAX,LB,Active,"6'1""",234,Louisville,0,True,DEF,Yasir Abdullah,23.0,Rookie,"April 12, 2000",6,1,"$1,051,304"
DET,DL,Active,"6'3""",335,Alabama,2,True,DEF,Isaiah Buggs,27.0,5th Season,"August 24, 1996",6,3,"$2,250,000"
LV,CB,Active,"5'9""",183,Louisiana Tech,2,True,DEF,Amik Robertson,25.0,4th Season,"July 6, 1998",5,9,"$947,350"
ARI,CB,Active,"5'10""",192,Syracuse,0,True,DEF,Garrett Williams,22.0,Rookie,"June 1, 2001",5,10,"$1,408,733"
DAL,CB,Active,"5'10""",195,Michigan,3,True,DEF,Jourdan Lewis,28.0,7th Season,"August 31, 1995",5,10,"$4,500,000"
DEN,S,Active,"6'4""",220,Boise State,0,True,DEF,JL Skinner,22.0,Rookie,"April 16, 2001",6,4,"$1,009,055"
CIN,OT,Active,"6'5""",312,Alabama,2,True,OFF,Jonah Williams,26.0,5th Season,"November 17, 1997",6,5,"$882,500"
SF,TE,Injured Reserve,"6'5""",244,Alabama,0,True,OFF,Cameron Latu,23.0,Rookie,"February 24, 2000",6,5,"$1,326,021"
CAR,DE,Active,"6'4""",305,Houston,1,True,DEF,Nick Thurman,28.0,3rd Season,"June 12, 1995",6,4,"$870,000"
CAR,QB,Practice Squad,"6'6""",224,Oregon State,1,True,OFF,Jake Luton,27.0,3rd Season,"April 11, 1996",6,6,"$1,010,000"
ARI,S,Active,"6'0""",197,San Jose State,1,True,DEF,Andre Chachere,27.0,3rd Season,"February 10, 1996",6,0,"$1,002,500"
,OT,Inactive,"6'5""",324,South Carolina,4,False,OFF,Brandon Shell,31.0,8th Season,"February 6, 1992",6,5,"$1,317,500"
MIN,LB,Injured Reserve,"6'1""",236,Texas,4,True,DEF,Jordan Hicks,31.0,9th Season,"June 27, 1992",6,1,"$5,000,000"
ATL,OL,Injured Reserve,"6'3""",307,Temple,2,True,OFF,Matt Hennessy,26.0,4th Season,"November 17, 1997",6,3,"$1,186,141"
NO,CB,Injured Reserve,"6'0""",192,Ohio State,3,True,DEF,Marshon Lattimore,27.0,7th Season,"May 20, 1996",6,0,"$19,520,600"
DET,LB,Active,"6'5""",239,Notre Dame,2,True,DEF,Julian Okwara,25.0,4th Season,"December 27, 1997",6,5,"$1,231,703"
LAC,CB,Active,"5'10""",180,Florida State,1,True,DEF,Asante Samuel Jr.,24.0,3rd Season,"October 3, 1999",5,10,"$1,805,737"
CAR,LB,Injured Reserve,"6'3""",230,Auburn,1,True,DEF,Chandler Wooten,25.0,2nd Season,"April 25, 1998",6,3,"$927,500"
HOU,LB,Active,"6'2""",234,Marshall,4,True,DEF,Neville Hewitt,30.0,9th Season,"April 6, 1993",6,2,"$1,165,000"
TEN,S,Active,"6'1""",217,Virginia Tech,3,True,DEF,Terrell Edmunds,26.0,6th Season,"January 20, 1997",6,1,"$2,000,000"
MIA,LB,Injured Reserve,"6'2""",225,Ohio State,3,True,DEF,Jerome Baker,26.0,6th Season,"December 25, 1996",6,2,"$12,500,000"
MIN,DL,Active,"6'3""",290,Florida,4,True,DEF,Jonathan Bullard,30.0,8th Season,"October 22, 1993",6,3,"$1,317,500"
DET,CB,Active,"5'8""",185,Northern Arizona,2,True,DEF,Khalil Dorsey,25.0,4th Season,"March 31, 1998",5,8,"$870,000"
TEN,CB,Active,"5'11""",190,Auburn,1,True,DEF,Roger McCreary,23.0,2nd Season,"February 10, 2000",5,11,"$2,291,402"
BAL,CB,Active,"5'11""",193,Florida State,4,True,DEF,Ronald Darby,29.0,9th Season,"January 2, 1994",5,11,"$1,700,000"
PHI,CB,Active,"5'11""",194,Ohio State,5,True,DEF,Bradley Roby,31.0,10th Season,"May 1, 1992",5,11,"$1,165,000"
CHI,LB,Active,"6'0""",240,Missouri State,3,True,DEF,Dylan Cole,29.0,7th Season,"May 19, 1994",6,0,"$1,080,000"
PIT,DT,Active,"6'5""",295,Ohio State,6,True,DEF,Cameron Heyward,34.0,13th Season,"May 6, 1989",6,5,"$16,400,000"
MIN,S,Active,"5'11""",207,Michigan,2,True,DEF,Josh Metellus,25.0,4th Season,"January 21, 1998",5,11,"$4,000,000"
LAC,DL,Active,"6'4""",296,Boise State,0,True,DEF,Scott Matlock,23.0,Rookie,"June 28, 2000",6,4,"$1,003,074"
NO,CB,Active,"6'2""",188,Mississippi State,2,True,DEF,Cameron Dantzler,25.0,4th Season,"September 3, 1998",6,2,"$1,010,000"
KC,S,Injured Reserve,"5'10""",199,Marshall,1,True,DEF,Nazeeh Johnson,25.0,2nd Season,"July 17, 1998",5,10,"$787,500"
CIN,LB,Active,"6'2""",245,Wyoming,2,True,DEF,Logan Wilson,27.0,4th Season,"July 8, 1996",6,2,"$9,000,000"
JAX,OT,Injured Reserve,"6'3""",311,Appalachian State,0,True,OFF,Cooper Hodges,23.0,Rookie,"July 13, 2000",6,3,"$986,372"
MIN,DL,Injured Reserve,"6'4""",295,Baylor,2,True,DEF,James Lynch,24.0,4th Season,"January 20, 1999",6,4,"$996,499"
MIA,LB,Active,"6'4""",268,North Carolina State,3,True,DEF,Bradley Chubb,27.0,6th Season,"June 24, 1996",6,4,"$22,000,000"
SEA,G,Active,"6'6""",325,Chattanooga,0,True,OFF,McClendon Curtis,24.0,Rookie,"September 16, 1999",6,6,"$750,000"
DET,DL,Active,"6'7""",268,Michigan,1,True,DEF,Aidan Hutchinson,23.0,2nd Season,"August 9, 2000",6,7,"$8,928,347"
NYG,CB,Physically Unable to Perform,"6'1""",195,Central Florida,1,True,DEF,Aaron Robinson,25.0,3rd Season,"November 10, 1998",6,1,"$1,285,823"
ATL,CB,Active,"5'11""",175,Tusculum College,1,True,DEF,Dee Alford,26.0,2nd Season,"November 5, 1997",5,11,"$856,833"
BAL,OLB,Injured Reserve,"6'3""",250,Lafayette,0,True,DEF,Malik Hamm,23.0,Rookie,"August 26, 2000",6,3,"$899,000"
DEN,C,Active,"6'4""",312,Oregon,0,True,OFF,Alex Forsyth,24.0,Rookie,"February 13, 1999",6,4,"$979,444"
JAX,CB,Active,"5'9""",187,Alabama-Birmingham,3,True,DEF,Darious Williams,30.0,6th Season,"March 15, 1993",5,9,"$10,000,000"
LAC,CB,Active,"6'2""",196,Brigham Young,3,True,DEF,Michael Davis,28.0,7th Season,"January 6, 1995",6,2,"$8,400,000"
NYG,ILB,Injured Reserve,"6'1""",238,Florida,3,True,DEF,Jarrad Davis,29.0,7th Season,"November 16, 1994",6,1,"$1,180,000"
NYG,ILB,Active,"6'2""",232,Indiana,1,True,DEF,Micah McFadden,23.0,2nd Season,"January 3, 2000",6,2,"$1,003,927"
ATL,QB,Active,"6'2""",201,Toledo,2,True,OFF,Logan Woodside,28.0,4th Season,"January 27, 1995",6,2,"$952,500"
SF,DL,Active,"6'2""",305,South Carolina State,4,True,DEF,Javon Hargrave,30.0,8th Season,"February 7, 1993",6,2,"$21,000,000"
CLE,DE,Active,"6'4""",270,Kentucky,4,True,DEF,Za'Darius Smith,31.0,9th Season,"September 8, 1992",6,4,"$11,710,000"
BUF,LB,Injured Reserve,"6'0""",223,Boston College,3,True,DEF,Matt Milano,29.0,7th Season,"July 28, 1994",6,0,"$14,165,000"
SEA,LB,Active,"6'0""",240,Texas Tech,2,True,DEF,Jordyn Brooks,26.0,4th Season,"October 21, 1997",6,0,"$3,058,902"
CAR,S,Active,"5'11""",190,Florida State,0,True,DEF,Jammie Robinson,22.0,Rookie,"January 24, 2001",5,11,"$1,042,383"
BAL,CB,Active,"6'0""",201,Alabama,3,True,DEF,Marlon Humphrey,27.0,7th Season,"July 8, 1996",6,0,"$19,500,000"
CIN,DT,Active,"6'3""",311,North Carolina State,3,True,DEF,B.J. Hill,28.0,6th Season,"April 20, 1995",6,3,"$10,000,000"
BUF,CB,Injured Reserve,"6'1""",191,Florida,1,True,DEF,Kaiir Elam,22.0,2nd Season,"May 5, 2001",6,1,"$3,422,702"
PHI,CB,Active,"6'2""",188,Alabama,0,True,DEF,Eli Ricks,22.0,Rookie,"September 26, 2001",6,2,"$901,667"
BAL,DB,Active,"6'1""",215,Southern Methodist,1,True,DEF,Brandon Stephens,25.0,3rd Season,"December 29, 1997",6,1,"$1,196,463"
ATL,DL,Active,"6'3""",305,Clemson,2,True,DEF,Albert Huggins,26.0,5th Season,"June 27, 1997",6,3,"$940,000"
DEN,LB,Active,"6'2""",235,Iowa,3,True,DEF,Ben Niemann,28.0,6th Season,"July 27, 1995",6,2,"$1,080,000"
NO,CB,Active,"6'1""",192,Stanford,1,True,DEF,Paulson Adebo,24.0,3rd Season,"July 3, 1999",6,1,"$1,260,090"
SEA,DT,Active,"6'3""",304,Mississippi State,0,True,DEF,Cameron Young,23.0,Rookie,"June 8, 2000",6,3,"$1,141,877"
NE,LB,Active,"6'3""",240,Michigan,2,True,DEF,Josh Uche,25.0,4th Season,"September 18, 1998",6,3,"$1,347,334"
LAR,OLB,Active,"6'2""",250,Tennessee,0,True,DEF,Byron Young,25.0,Rookie,"March 13, 1998",6,2,"$1,389,167"
SEA,LB,Injured Reserve,"6'2""",251,USC,3,True,DEF,Uchenna Nwosu,26.0,6th Season,"December 28, 1996",6,2,"$15,000,000"
JAX,S,Active,"6'0""",210,Syracuse,1,True,DEF,Andre Cisco,23.0,3rd Season,"March 23, 2000",6,0,"$1,309,125"
DAL,DT,Active,"6'2""",320,Ohio State,5,True,DEF,Johnathan Hankins,31.0,11th Season,"March 30, 1992",6,2,"$1,317,500"
DEN,OLB,Active,"6'3""",240,Oklahoma,1,True,DEF,Nik Bonitto,24.0,2nd Season,"September 26, 1999",6,3,"$1,450,473"
LAR,NT,Active,"6'2""",288,Wake Forest,0,True,DEF,Kobie Turner,24.0,Rookie,"April 26, 1999",6,2,"$1,347,869"
PIT,S,Active,"6'2""",222,Southern Utah State,4,True,DEF,Miles Killebrew,30.0,8th Season,"May 10, 1993",6,2,"$2,000,000"
PHI,S,Active,"5'10""",211,Illinois,0,True,DEF,Sydney Brown,23.0,Rookie,"March 21, 2000",5,10,"$1,436,110"
