PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
430,,,Sam,Koch,P,Inactive,"6'1""",222,1982-08-13T00:00:00,Nebraska,12,P,False,ST,Sam Koch,41.0,17th Season,"August 13, 1982",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/430.png,,TEN,0,S.Koch,,Scrambled,Scrambled,,,,BAL,2006.0,3.0,138.0,False,6,1,7,21.0,Scrambled,,302805.0,544e4159-3da3-47ad-866c-bf48d7634f25,,7073.0,214953.0,11211.0,8642.0,,,7952.0,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,,0,,,8253808.0,http://cdn.usatsimg.com/api/download/?imageID=16570490,http://cdn.usatsimg.com/api/download/?imageID=16583142,2021-08-15T21:54:16,2021-08-18T20:29:39
549,ARI,5.0,Matt,Prater,K,Active,"5'10""",201,1984-08-10T00:00:00,Central Florida,12,K,True,ST,Matt Prater,39.0,17th Season,"August 10, 1984",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/549.png,14.0,SF,15,M.Prater,266.0,Scrambled,Scrambled,0.0,136.0,ARI,DET,2006.0,,,True,5,10,2,4.0,Scrambled,4910.0,300720.0,67f5e782-f91c-4536-9818-cf4a0e7e821d,4502.0,5051.0,218237.0,4014.0,8751.0,6782.0,218237.0,8565.0,Scrambled,Scrambled,,Scrambled,Matt Prater,Matt Prater,Matt Prater,0.0,Scrambled,Scrambled,False,,,,1.0,1,,,8274209.0,http://cdn.usatsimg.com/api/download/?imageID=21952635,http://cdn.usatsimg.com/api/download/?imageID=21983453,2023-11-22T11:25:08,2023-11-27T17:01:23
611,CLE,15.0,Joe,Flacco,QB,Active,"6'6""",245,1985-01-16T00:00:00,Delaware,11,QB,True,OFF,Joe Flacco,38.0,16th Season,"January 16, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/611.png,5.0,CHI,15,J.Flacco,368.3,Scrambled,Scrambled,0.0,0.0,CLE,BAL,2008.0,0.0,12.0,False,6,6,12,14.0,Scrambled,3751.0,302714.0,64797df2-efd3-4b27-86ee-1d48f7edb09f,4677.0,5648.0,216342.0,12802.0,10384.0,6714.0,216342.0,8795.0,Scrambled,Scrambled,,Scrambled,Joe Flacco,Joe Flacco,Joe Flacco,0.0,Scrambled,Scrambled,False,4842.0,3751.0,18.0,8.0,8,216342.0,Joe Flacco,8322402.0,http://cdn.usatsimg.com/api/download/?imageID=14801502,http://cdn.usatsimg.com/api/download/?imageID=19002195,2020-08-22T12:33:40,2022-09-07T20:50:27
732,,,Matt,Ryan,QB,Inactive,"6'4""",220,1985-05-17T00:00:00,Boston College,11,QB,False,OFF,Matt Ryan,38.0,16th Season,"May 17, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/732.png,,HOU,0,M.Ryan,525.8,Scrambled,Scrambled,,,,ATL,2008.0,0.0,1.0,False,6,4,13,17.0,Scrambled,,302726.0,7e648a0b-fdc8-4661-a587-5826f2cac11b,4637.0,5610.0,216263.0,12152.0,10265.0,6616.0,216263.0,8780.0,Scrambled,Scrambled,,Scrambled,Matt Ryan,Matt Ryan,Matt Ryan,,Scrambled,Scrambled,False,,,,,0,216263.0,Matt Ryan,8299794.0,http://cdn.usatsimg.com/api/download/?imageID=18963036,http://cdn.usatsimg.com/api/download/?imageID=17528047,2022-09-01T10:31:43,2022-01-19T01:13:56
1410,,,Robbie,Gould,K,Inactive,"6'0""",190,1982-12-06T00:00:00,Penn State,13,K,False,ST,Robbie Gould,41.0,19th Season,"December 6, 1982",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1410.png,,PHI,0,R.Gould,,Scrambled,Scrambled,,,,NE,2005.0,,,True,6,0,21,5.0,Scrambled,,300727.0,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,3519.0,4686.0,167377.0,4256.0,8406.0,6910.0,167377.0,7520.0,Scrambled,Scrambled,,Scrambled,Robbie Gould,Robbie Gould,Robbie Gould,,Scrambled,Scrambled,False,,,,,0,,,8249641.0,http://cdn.usatsimg.com/api/download/?imageID=18999989,http://cdn.usatsimg.com/api/download/?imageID=19001309,2022-09-07T14:45:48,2022-09-07T18:02:12
1694,LAR,3.0,Mason,Crosby,K,Active,"6'1""",207,1984-09-03T00:00:00,Colorado,12,K,True,ST,Mason Crosby,39.0,17th Season,"September 3, 1984",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1694.png,10.0,WAS,15,M.Crosby,536.7,Scrambled,Scrambled,0.0,136.0,LAR,GB,2007.0,3.0,132.0,False,6,1,22,20.0,Scrambled,4297.0,300740.0,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,4182.0,5363.0,214574.0,3558.0,9535.0,6897.0,214574.0,8447.0,Scrambled,Scrambled,2023-12-10T00:00:00,Scrambled,Mason Crosby,Mason Crosby,Mason Crosby,1.0,Scrambled,Scrambled,True,,,,32.0,32,,,8256748.0,http://cdn.usatsimg.com/api/download/?imageID=18994609,http://cdn.usatsimg.com/api/download/?imageID=19000821,2022-09-06T15:56:54,2022-09-07T17:00:13
2405,,,Chad,Henne,QB,Inactive,"6'3""",230,1985-07-02T00:00:00,Michigan,10,QB,False,OFF,Chad Henne,38.0,15th Season,"July 2, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2405.png,,PHI,0,C.Henne,351.2,Scrambled,Scrambled,,,,MIA,2008.0,1.0,39.0,False,6,3,21,22.0,Scrambled,,302787.0,f55053e4-4bfd-495d-981a-d62e3662f01b,4684.0,5685.0,264851.0,16957.0,9313.0,7844.0,264851.0,8834.0,Scrambled,Scrambled,,Scrambled,Chad Henne,Chad Henne,Chad Henne,,Scrambled,Scrambled,False,,,,,0,264851.0,Chad Henne,8257243.0,http://cdn.usatsimg.com/api/download/?imageID=19091069,http://cdn.usatsimg.com/api/download/?imageID=19091068,2022-09-22T13:21:06,2022-09-22T13:21:03
2593,NYJ,8.0,Aaron,Rodgers,QB,Injured Reserve,"6'2""",223,1983-12-02T00:00:00,California,13,QB,True,OFF,Aaron Rodgers,40.0,19th Season,"December 2, 1983",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2593.png,7.0,MIA,15,A.Rodgers,68.9,Scrambled,Scrambled,,,NYJ,GB,2005.0,0.0,16.0,False,6,2,5,12.0,Scrambled,2728.0,302676.0,0ce48193-e2fa-466e-a986-33f751add206,3118.0,4307.0,213957.0,2609.0,7705.0,6894.0,213957.0,7200.0,Scrambled,Scrambled,2023-09-11T00:00:00,Scrambled,Aaron Rodgers,Aaron Rodgers,Aaron Rodgers,1.0,Scrambled,Scrambled,False,4433.0,2728.0,14.0,24.0,24,213957.0,Aaron Rodgers,8314357.0,http://cdn.usatsimg.com/api/download/?imageID=21319862,http://cdn.usatsimg.com/api/download/?imageID=21331538,2023-09-01T09:55:09,2023-09-02T15:42:29
3061,CHI,84.0,Marcedes,Lewis,TE,Active,"6'6""",265,1984-05-19T00:00:00,UCLA,12,TE,True,OFF,Marcedes Lewis,39.0,18th Season,"May 19, 1984",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3061.png,13.0,CLE,15,M.Lewis,523.8,Scrambled,Scrambled,1.0,4.0,CHI,JAX,2006.0,0.0,19.0,False,6,6,0,2.0,Scrambled,1705.0,301411.0,9c21e9af-681c-41ef-9b00-fbc9e1668ed1,3615.0,4891.0,214197.0,4441.0,7815.0,6672.0,214197.0,7777.0,Scrambled,Scrambled,,Scrambled,Marcedes Lewis,Marcedes Lewis,Marcedes Lewis,1.0,Scrambled,Scrambled,False,2864.0,1705.0,5.0,6.0,6,214197.0,Marcedes Lewis,8313283.0,http://cdn.usatsimg.com/api/download/?imageID=21378039,http://cdn.usatsimg.com/api/download/?imageID=21380456,2023-09-09T08:47:34,2023-09-09T14:40:48
3100,,,Andy,Lee,P,Inactive,"6'1""",185,1982-08-11T00:00:00,Pittsburgh,14,P,False,ST,Andy Lee,41.0,20th Season,"August 11, 1982",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3100.png,,SF,0,A.Lee,,Scrambled,Scrambled,,,,SF,2004.0,3.0,128.0,False,6,1,2,4.0,Scrambled,,302833.0,edaad8e3-62cd-4715-b225-0010ee9825a0,2884.0,4044.0,,17809.0,7052.0,,246395.0,6947.0,Scrambled,Scrambled,,Scrambled,,Andy Lee,,,Scrambled,Scrambled,False,,,,,0,,,8249414.0,http://cdn.usatsimg.com/api/download/?imageID=16550599,http://cdn.usatsimg.com/api/download/?imageID=16550600,2021-08-11T20:20:24,2021-08-11T20:20:57
