Name,Salary
T.J. Watt,"$28,002,750"
Chris Jones,"$19,500,000"
Aaron Donald,"$31,666,667"
Cameron Heyward,"$16,400,000"
C.J. Mosley,"$17,000,000"
Jonathan Allen,"$18,000,000"
Danielle Hunter,"$17,000,000"
Grady Jarrett,"$16,823,333"
Adoree' Jackson,"$13,000,000"
Justin Simmons,"$15,250,000"
Budda Baker,"$14,750,000"
DeForest Buckner,"$21,000,000"
Emmanuel Ogbah,"$16,350,000"
DeMarcus Lawrence,"$13,333,333"
Eddie Jackson,"$14,600,000"
Cameron Jordan,"$13,958,824"
Khalil Mack,"$23,500,000"
Matt Judon,"$13,625,000"
Myles Garrett,"$25,000,000"
Tre'Davious White,"$17,250,000"
Joey Bosa,"$27,000,000"
D.J. Reader,"$13,250,000"
Trey Hendrickson,"$21,000,000"
Tremaine Edmunds,"$18,000,000"
Shaq Thompson,"$6,300,000"
D.J. Jones,"$10,000,000"
Maxx Crosby,"$23,500,000"
Kenny Clark,"$17,500,000"
Justin Reid,"$10,500,000"
Jerome Baker,"$12,500,000"
Darious Williams,"$10,000,000"
Marlon Humphrey,"$19,500,000"
Denzel Ward,"$20,100,000"
Arik Armstead,"$17,000,000"
Quandre Diggs,"$13,000,000"
Harrison Smith,"$16,000,000"
Rashan Gary,"$24,000,000"
Darius Slay,"$14,000,000"
Marshon Lattimore,"$19,520,600"
Kendall Fuller,"$10,000,000"
Jamal Adams,"$17,645,000"
Nick Bosa,"$34,000,000"
B.J. Hill,"$10,000,000"
Shaquil Barrett,"$17,000,000"
Jaire Alexander,"$21,000,000"
Micah Hyde,"$9,625,000"
Harold Landry,"$17,500,000"
Davon Godchaux,"$10,400,000"
Yannick Ngakoue,"$10,500,000"
Uchenna Nwosu,"$15,000,000"
Brandon Graham,"$5,000,000"
Xavien Howard,"$18,000,000"
Dre'Mont Jones,"$17,176,667"
Sam Hubbard,"$10,000,000"
Stephon Gilmore,"$10,000,000"
Austin Johnson,"$7,000,000"
Jessie Bates III,"$16,005,000"
Michael Davis,"$8,400,000"
Derwin James,"$19,133,000"
Denico Autry,"$7,166,667"
Fred Warner,"$19,045,000"
Sebastian Joseph,"$8,000,000"
Roquan Smith,"$20,000,000"
Amani Hooker,"$10,000,000"
Foyesade Oluokun,"$15,000,000"
Deatrich Wise,"$5,500,000"
Daron Payne,"$22,500,000"
DaQuan Jones,"$7,000,000"
Travon Walker,"$9,343,155"
Kenny Moore,"$8,325,000"
Aidan Hutchinson,"$8,928,347"
Tim Patrick,"$11,333,333"
David Onyemata,"$11,666,667"
D.J. Reed,"$11,000,000"
Von Miller,"$20,000,000"
Chidobe Awuzie,"$7,250,000"
Minkah Fitzpatrick,"$18,403,059"
Derek Stingley Jr.,"$8,664,378"
Demario Davis,"$9,000,000"
Ahmad Gardner,"$8,362,700"
Bradley Chubb,"$22,000,000"
Derrick Brown,"$5,905,351"
Calais Campbell,"$7,000,000"
Carlton Davis,"$14,833,333"
Donte Jackson,"$11,726,667"
Maliek Collins,"$11,500,000"
Justin Jones,"$6,000,000"
Marcus Williams,"$14,000,000"
Dorance Armstrong,"$6,000,000"
Grover Stewart,"$10,250,000"
Josey Jewell,"$5,500,000"
Kayvon Thibodeaux,"$7,834,760"
Matt Milano,"$14,165,000"
Taron Johnson,"$8,000,000"
Bobby Wagner,"$5,500,000"
Haason Reddick,"$15,000,000"
Foley Fatukasi,"$10,000,000"
Harrison Phillips,"$6,500,000"
Bilal Nichols,"$5,500,000"
Javon Hargrave,"$21,000,000"
Vita Vea,"$17,750,000"
Quinnen Williams,"$24,000,000"
Charvarius Ward,"$13,500,000"
DeMarcus Walker,"$7,000,000"
Will Anderson,"$8,803,207"
Preston Smith,"$13,000,000"
Jeffery Simmons,"$23,500,000"
Tracy Walker,"$8,333,333"
Jonathan Jones,"$9,500,000"
Jayron Kearse,"$5,000,000"
Zach Allen,"$15,250,000"
Marcus Davenport,"$13,000,000"
Mike Hilton,"$6,000,000"
Ryan Jensen,"$13,000,000"
Jourdan Lewis,"$4,500,000"
Josh Sweat,"$13,333,333"
Trevon Diggs,"$19,400,000"
