Name,CMP%,PassingYards,PassingYardsPerGame,PassingTouchDowns
C.J. Stroud,63.4,"3,540",295,20
Sam Howell,65.8,"3,466",266.6,18
Tua Tagovailoa,70.1,"3,457",288.1,24
Jared Goff,67.7,"3,288",274,20
Dak Prescott,70.1,"3,234",269.5,26
Josh Allen,68.1,"3,214",267.8,24
Brock Purdy,70.2,"3,185",265.4,23
Patrick Mahomes,67.8,"3,127",260.6,22
Justin Herbert,65.6,"3,038",253.2,20
Trevor Lawrence,67.9,"3,004",250.3,14
Jalen Hurts,66.5,"2,995",249.6,19
Geno Smith,64.4,"2,918",243.2,15
Jordan Love,61.3,"2,866",238.8,22
Baker Mayfield,63.6,"2,790",232.5,18
Matthew Stafford,60.7,"2,768",251.6,16
Derek Carr,66.2,"2,761",230.1,11
Lamar Jackson,68.3,"2,618",218.2,13
Joshua Dobbs,64,"2,401",200.1,13
Russell Wilson,67.5,"2,385",198.8,21
Kirk Cousins,69.5,"2,331",291.4,18
Joe Burrow,66.8,"2,309",230.9,15
Gardner Minshew,62.8,"2,284",190.3,10
Mac Jones,64.9,"2,120",192.7,10
Kenny Pickett,62,"2,070",172.5,6
Bryce Young,60.6,"2,055",186.8,9
Desmond Ridder,63.3,"2,029",184.5,8
Zach Wilson,59.2,"1,944",194.4,6
Justin Fields,64.4,"1,587",198.4,12
Will Levis,57.8,"1,266",211,7
Jimmy Garoppolo,65.5,"1,205",200.8,7
Aidan O'Connell,63.5,"1,194",199,4
Ryan Tannehill,62,"1,128",161.1,2
Deshaun Watson,61.4,"1,115",185.8,7
Daniel Jones,67.5,909,151.5,2
Kyler Murray,60.8,864,216,3
Tyson Bagent,65.7,859,171.8,3
Tommy DeVito,62.9,697,139.4,7
PJ Walker,48.6,674,112.3,1
Jake Browning,75.6,649,162.3,3
Tyrod Taylor,65.5,579,82.7,2
Anthony Richardson,59.5,577,144.3,3
Bailey Zappe,55.4,539,89.8,3
Taylor Heinicke,55.4,498,166,3
Mitch Trubisky,60.7,463,115.8,3
Dorian Thompson-Robinson,53.2,429,85.8,1
Andy Dalton,58.6,361,120.3,2
Tim Boyle,62.3,360,120,1
Jameis Winston,53.2,264,52.8,2
Joe Flacco,52.3,254,254,2
Brian Hoyer,54.8,231,77,0
Brett Rypien,47.4,172,86,0
Cooper Rush,75,114,19,0
Jaren Hall,80,101,50.5,0
C.J. Beathard,85.7,77,15.4,0
Malik Willis,80,74,24.7,0
Taysom Hill,62.5,72,6,1
Mike White,75,70,17.5,1
Trevor Siemian,38.5,66,66,0
Drew Lock,33.3,66,33,0
Clayton Tune,57.1,62,15.5,0
Keenan Allen,100,49,4.1,1
Tyler Huntley,62.5,38,12.7,1
Blaine Gabbert,60,31,31,0
Drake London,100,22,2,0
Davis Mills,100,20,10,0
Thomas Morstead,100,18,1.5,0
Marcus Mariota,66.7,16,16,0
Dontayvion Wicks,100,14,1.3,0
Logan Cooke,100,13,1.1,0
Johnny Hekker,100,7,0.6,0
Sam Darnold,66.7,7,1.2,0
Devin Singletary,100,6,0.5,1
Derrick Henry,50,2,0.2,1
Aaron Rodgers,0,0,0,0
Nathan Peterman,0,0,0,0
Tyler Boyd,0,0,0,0
Jonnu Smith,0,0,0,0
Chris Godwin,0,0,0,0
Parris Campbell,0,0,0,0
Deebo Samuel,0,0,0,0
Jakobi Meyers,0,0,0,0
Kyle Trask,0,0,0,0
Cedrick Wilson Jr.,0,0,0,0
Josh Jacobs,0,0,0,0
Cam Akers,0,0,0,0
Malik Cunningham,0,0,0,0
Kadarius Toney,0,0,0,0
DeeJay Dallas,0,0,0,0
Connor Heyward,0,0,0,0
Tank Dell,0,0,0,0
Amon-Ra St. Brown,0,0,0,0
Garrett Wilson,0,0,0,0
Christian Kirk,50,-1,-0.1,0
Ja'Marr Chase,100,-7,-0.6,0
