Name,RecievingYards,AvgRecievingYards,ReceivingTouchdowns,RecievingYardsPerGame
Tyreek Hill,"1,481",15.9,12,123.4
CeeDee Lamb,"1,182",13.1,7,98.5
Keenan Allen,"1,175",11.5,7,97.9
A.J. Brown,"1,164",14.4,7,97
Ja'Marr Chase,"1,063",12.4,7,88.6
Amon-Ra St. Brown,"1,042",12.4,6,94.7
Puka Nacua,"1,029",13.4,4,85.8
Mike Evans,"1,012",16.6,10,84.3
DJ Moore,"1,003",14.3,6,83.6
Nico Collins,991,16.8,6,90.1
Stefon Diggs,969,11.7,8,80.8
Brandon Aiyuk,927,18.5,6,84.3
Chris Olave,890,13.1,3,74.2
Michael Pittman Jr.,889,10.2,4,74.1
DeVonta Smith,834,13,6,69.5
Davante Adams,814,11.8,4,67.8
Travis Kelce,813,11,5,73.9
DK Metcalf,812,16.6,6,73.8
Amari Cooper,799,16,2,66.6
Christian Kirk,787,13.8,3,65.6
T.J. Hockenson,786,9.8,5,65.5
DeAndre Hopkins,774,15.5,5,64.5
George Pickens,767,15.7,3,59
Adam Thielen,753,9.4,4,62.8
Garrett Wilson,745,11.1,3,62.1
Jaylen Waddle,743,13,3,67.5
George Kittle,735,14.7,5,61.3
Tank Dell,709,15.1,7,64.5
Terry McLaurin,694,11.6,2,53.4
Calvin Ridley,689,13.5,5,57.4
Jordan Addison,686,12.7,7,57.2
Sam LaPorta,679,10.6,6,56.6
Courtland Sutton,637,12.7,9,53.1
Tyler Lockett,622,10.5,4,51.8
Zay Flowers,613,10.6,2,51.1
Trey McBride,610,10.9,2,46.9
Evan Engram,606,8.3,1,50.5
Chris Godwin,606,11.4,1,50.5
Gabe Davis,595,15.3,6,49.6
Jakobi Meyers,591,11.4,6,53.7
Rashee Rice,591,11.4,5,49.3
Deebo Samuel,590,15.5,3,59
Josh Downs,580,11.4,2,48.3
Marquise Brown,574,11.3,4,44.2
Drake London,573,12.5,2,52.1
Justin Jefferson,571,15.9,3,114.2
Mark Andrews,544,12.1,6,54.4
Rashid Shaheed,534,16.2,3,48.5
Jayden Reed,513,12.8,5,42.8
David Njoku,509,9.6,2,42.4
Curtis Samuel,508,10,2,42.3
Romeo Doubs,505,11.2,7,42.1
Elijah Moore,501,10.7,1,41.8
Tyler Boyd,499,9.1,2,41.6
Jake Ferguson,498,10.8,5,41.5
Brandin Cooks,497,13.4,5,45.2
Kyle Pitts,492,12,1,41
Jerry Jeudy,491,12.3,1,44.6
Cole Kmet,482,8.6,5,40.2
Tutu Atwell,476,12.9,3,39.7
Diontae Johnson,475,12.8,3,47.5
Dalton Kincaid,474,8.5,2,43.1
Jaxon Smith-Njigba,468,10.4,2,39
Jahan Dotson,458,10.4,4,35.2
Dalton Schultz,455,11.4,5,41.4
Josh Reynolds,450,16.1,4,37.5
Tyler Conklin,449,10.7,0,37.4
Michael Thomas,448,11.5,1,44.8
Noah Brown,439,20.9,1,73.2
Darius Slayton,435,13.6,1,36.3
Michael Wilson,435,15.5,2,48.3
Jonnu Smith,433,11.7,2,36.1
Cooper Kupp,432,13.1,2,54
Christian McCaffrey,429,8.4,5,35.8
Logan Thomas,424,9.4,3,35.3
Christian Watson,422,15.1,5,46.9
K.J. Osborn,418,11.6,2,38
Alvin Kamara,413,6.9,1,45.9
Dallas Goedert,410,10.8,2,45.6
Khalil Shakir,410,16.4,2,34.2
Demario Douglas,410,11.4,0,41
Odell Beckham Jr.,408,15.1,2,40.8
Kendrick Bourne,406,11,4,50.8
Alec Pierce,391,15.6,1,32.6
Rachaad White,386,8.4,1,32.2
Darren Waller,384,10.7,1,48
Joshua Palmer,377,16.4,1,47.1
Dontayvion Wicks,374,16.3,1,34
Kalif Raymond,372,14.3,1,31
Tyler Higbee,367,10.8,2,30.6
Tee Higgins,364,12.1,2,45.5
Michael Gallup,357,12.8,1,29.8
Jonathan Mingo,355,10.4,0,32.3
Hunter Henry,353,10.1,5,27.2
Darnell Mooney,351,14,1,29.3
Breece Hall,349,7.9,2,29.1
Cade Otton,348,9.2,3,29
Travis Etienne Jr.,346,8.6,1,28.8
Samaje Perine,342,9.8,0,28.5
Luke Musgrave,341,10.3,1,34.1
Justin Watson,332,16.6,2,30.2
Jalin Hyatt,330,19.4,0,27.5
Robert Woods,326,10.9,1,32.6
Brian Robinson Jr.,326,11.2,3,25.1
Antonio Gibson,322,8.7,2,26.8
DJ Chark Jr.,319,13.9,3,31.9
Chigoziem Okonkwo,313,8.9,0,26.1
Nick Westbrook-Ikhine,309,12.4,3,25.8
James Cook,308,9.3,2,25.7
Noah Fant,304,13.8,0,25.3
Austin Ekeler,295,9.5,1,32.8
Chris Moore,292,22.5,0,24.3
Allen Lazard,290,14.5,1,26.4
Marvin Mims Jr.,287,17.9,1,23.9
Nelson Agholor,282,14.1,3,23.5
Joe Mixon,281,7.2,1,23.4
Josh Jacobs,280,8,0,23.3
Marquez Valdes-Scantling,273,16.1,1,22.8
Jahmyr Gibbs,272,6.5,0,27.2
Jaylen Warren,272,6.5,0,20.9
Brandon Powell,269,10.8,1,22.4
Bijan Robinson,266,7.6,3,22.2
Wan'Dale Robinson,265,7.4,1,26.5
DeVante Parker,264,12,0,29.3
JuJu Smith-Schuster,260,9,1,23.6
Rondale Moore,260,9,1,20
Gerald Everett,254,8.8,3,25.4
